TeilnehmerID,Gruppe,RaumlicheGruppe,Pressure,map,place,V,O,G,uncertainty,dec,conf,dec_rt,conf_rt,trial,correct,unc_c,pres_c
OZ_T05,1,1,Control,K8,Arosa,V1,O1,G2,OU,7,3,41,15,1,1,-0.5,-0.5
OZ_T05,1,1,Control,K10,Berguen,V3,O2,G1,OU,8,4,18,4,2,1,-0.5,-0.5
OZ_T05,1,1,Control,K12,Bivio,V4,O1,G1,OU,8,4,20,6,3,1,-0.5,-0.5
OZ_T05,1,1,Control,K14,Churwalden,V2,O1,G1,OU,7,4,14,3,4,1,-0.5,-0.5
OZ_T05,1,1,Control,K16,SanBernadino,V4,O2,G2,OU,8,3,25,4,5,1,-0.5,-0.5
OZ_T05,1,1,Control,K18,Serneus,V1,O2,G1,OU,7,2,39,3,6,1,-0.5,-0.5
OZ_T05,1,1,Control,K20,Tschiertschen,V3,O1,G2,OU,8,2,37,2,7,1,-0.5,-0.5
OZ_T05,1,1,Control,K22,Klosters,V2,O2,G2,OU,8,2,21,3,8,1,-0.5,-0.5
OZ_T05,1,1,Control,K24,Arosa,V1,O1,G1,MU,7,4,25,4,9,1,0.5,-0.5
OZ_T05,1,1,Control,K26,Berguen,V3,O2,G2,MU,7,4,18,4,10,1,0.5,-0.5
OZ_T05,1,1,Control,K28,Bivio,V3,O1,G1,MU,8,3,25,3,11,1,0.5,-0.5
OZ_T05,1,1,Control,K30,Churwalden,V2,O1,G2,MU,7,4,8,3,12,1,0.5,-0.5
OZ_T05,1,1,Control,K32,Kloster,V2,O2,G1,MU,8,2,42,3,13,1,0.5,-0.5
OZ_T05,1,1,Control,K34,SanBernadino,V4,O2,G1,MU,4,4,15,3,14,0,0.5,-0.5
OZ_T05,1,1,Control,K36,Serneus,V1,O2,G2,MU,7,3,30,4,15,1,0.5,-0.5
OZ_T05,1,1,Control,K38,Tschiertschen,V3,O1,G1,MU,7,3,31,3,16,1,0.5,-0.5
OZ_T06,1,1,Control,K8,Arosa,V1,O1,G2,OU,8,2,40,11,1,1,-0.5,-0.5
OZ_T06,1,1,Control,K10,Berguen,V3,O2,G1,OU,8,3,18,6,2,1,-0.5,-0.5
OZ_T06,1,1,Control,K12,Bivio,V4,O1,G1,OU,8,4,13,6,3,1,-0.5,-0.5
OZ_T06,1,1,Control,K14,Churwalden,V2,O1,G1,OU,7,2,51,3,4,1,-0.5,-0.5
OZ_T06,1,1,Control,K16,SanBernadino,V4,O2,G2,OU,8,2,32,4,5,1,-0.5,-0.5
OZ_T06,1,1,Control,K18,Serneus,V1,O2,G1,OU,8,3,27,3,6,1,-0.5,-0.5
